"","Doses","E25","c0.1","c23.99","c24.1","c35.99","c36.1","c47.99","c48.1","c71.99","c72.1","E40","C0","C23.99","C24.1","C35.99","C36.1","C47.99","C48.1","C71.99","C72.1"
"11","4,5,4,4","0.00609039444872975","9.30427296024439","1.87491507602521","13.4918231580131","4.55545961512223","4.53962253414978","2.89036404724745","12.1764176589565","2.7931476802056","12.077598932366","0.91596858163665","11.221500892596","1.92894174577877","15.9219433308988","4.92119706208565","4.88632012025021","1.9060151964234","13.0886693435928","1.25451056121968","12.4352287702001"
"12","4,6,4,4","0.0269072042331572","9.30427296024439","1.87491507602521","15.8164200491604","5.22212822727424","5.20389451840048","3.30612154728382","12.5907291886546","2.96352759915616","12.2474377648606","0.99571383474567","11.221500892596","1.92894174577877","18.7229602648857","5.74265752239502","5.70187645903879","2.21959007495425","13.399956718098","1.29967710106485","12.4800919262195"
"13","4,7,0,0","0.0407278383596464","9.30427296024439","1.87491507602521","18.1410214386893","5.88875720876405","5.8681270142808","3.72185432584333","3.70927182049593","1.59488249151923","1.59028515595826","0.998939434236526","11.221500892596","1.92894174577877","21.5239548504477","6.5641195108786","6.51743431470799","2.53316553098535","2.51497016776361","0.393938597073667","0.391477050715766"
"14","4,7,4,4","0.794178519526046","9.30427296024439","1.87491507602521","18.1410214386893","5.88875720876405","5.8681270142808","3.72185432584333","13.0050097304883","3.133895763356","12.4172880059542","0.999874996004885","11.221500892596","1.92894174577877","21.5239548504477","6.5641195108786","6.51743431470799","2.53316553098535","13.711247936186","1.34484615747464","12.524949952701"
"15","4.5,4.5,4.5,4.5","0.0532813787845911","10.4673030109397","2.10927355934954","12.5631164895209","4.3749094292041","4.35978884750641","2.78394440347702","13.2323712012614","2.95061670597126","13.3961936500344","0.973633787455313","12.6241881857689","2.17005922822305","14.7610572192704","4.61220847972568","4.57961402358711","1.79149721279246","14.374517501889","1.36050905618406","13.9391433905014"
"16","5,0,0,0","0.162532687485573","11.6303378819114","2.34363010497898","2.3360481538616","1.52778432929408","1.52296640029327","1.01455678753441","1.0115574613386","0.502839504470427","0.501714628496679","0.921522678691197","14.0268774531405","2.41117619919982","2.39606169663072","1.01731299191702","1.01061797652439","0.42265489350283","0.419926150031212","0.0972104239692572","0.0968178261024994"
"17","5,6,6","0.162535744652362","11.6303378819114","2.34363010497898","2.3360481538616","1.52778432929408","15.468390493909","4.91338554995896","4.89587409627408","1.99527027405695","15.9295338853756","0.921561408266187","14.0268774531405","2.41117619919982","2.39606169663072","1.01731299191702","17.8103792383668","4.93981403301014","4.90233876560794","0.675490482551893","17.4560370940756"
"18","5,4,0,0","0.172007617319517","11.6303378819114","2.34363010497898","11.6344310369203","4.19436737462492","4.17996326247164","2.67752978036847","2.66871158251639","1.18432976746334","1.18109207565795","0.988103914976559","14.0268774531405","2.41117619919982","13.6001194573419","4.30318063884033","4.27286894981796","1.67696421896031","1.665085551805","0.277879108628155","0.276259386313349"
"19","5,4,4,4","0.173194793419265","11.6303378819114","2.34363010497898","11.6344310369203","4.19436737462492","4.17996326247164","2.67752978036847","11.9644288129817","2.72333959100505","12.0080981889903","0.98853446779988","14.0268774531405","2.41117619919982","13.6001194573419","4.30318063884033","4.27286894981796","1.67696421896031","12.8613432466745","1.2287831407002","12.4097368118723"
"20","5,5,5,5","0.67388067749612","11.6303378819114","2.34363010497898","13.9590221361358","4.86102322807452","4.84422253396466","3.09327932643429","14.7026680091576","3.27847030999799","14.8846892520404","0.999740344837383","14.0268774531405","2.41117619919982","16.4011801412314","5.12466007685189","5.08844412866442","1.99054631822643","15.971723387887","1.51167967318228","15.4879519178874"
